day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
-1,22,0.0843,3.6565,0.3341,Collodictyon,4,29,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,1,0.3341,1,1,Paramecium,4,29,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,12,0.0843,4.707,0.3465,Collodictyon,5,30,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,16,0.3465,1,1,Paramecium,5,30,"Collodictyon, Paramecium",2,"Collodictyon, Paramecium"
-1,132,0.34,3.1163,0.3245,Colpidium,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,8,0.0843,3.1163,0.3245,Collodictyon,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,32,0.3245,1,1,Paramecium,1,31,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,100,0.334,3.2555,0.323,Colpidium,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,6,0.0843,3.2555,0.323,Collodictyon,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,17,0.323,1,1,Paramecium,2,32,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,70,0.309,3.85,0.328,Colpidium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,5,0.0843,3.85,0.328,Collodictyon,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,18,0.328,1,1,Paramecium,3,33,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,79,0.2865,3.4146,0.3334,Colpidium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,19,0.0843,3.4146,0.3334,Collodictyon,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,23,0.3334,1,1,Paramecium,4,34,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,75,0.284,2.9512,0.3605,Colpidium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,6,0.0843,2.9512,0.3605,Collodictyon,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
-1,41,0.3605,1,1,Paramecium,5,35,"Colpidium, Collodictyon, Paramecium",3,"Colpidium, Collodictyon, Paramecium"
2,112,0.2965,2.8711,0.3269,Colpidium,1,1,Colpidium,1,Colpidium
2,67,0.3266,4.4664,0.3167,Colpidium,2,2,Colpidium,1,Colpidium
2,92,0.3321,4.5243,0.3225,Colpidium,3,3,Colpidium,1,Colpidium
2,54,0.2966,6.122,0.3173,Colpidium,4,4,Colpidium,1,Colpidium
2,76,0.3393,5.7184,0.3066,Colpidium,5,5,Colpidium,1,Colpidium
2,44,0.0843,2.0815,0.3111,Collodictyon,1,6,Collodictyon,1,Collodictyon
2,32,0.0843,2.3716,0.324,Collodictyon,2,7,Collodictyon,1,Collodictyon
2,62,0.0843,2.289,0.3119,Collodictyon,3,8,Collodictyon,1,Collodictyon
2,37,0.0843,2.2247,0.3005,Collodictyon,4,9,Collodictyon,1,Collodictyon
2,37,0.0843,1.6332,0.3228,Collodictyon,5,10,Collodictyon,1,Collodictyon
2,13,0.3416,1,1,Paramecium,1,11,Paramecium,1,Paramecium
2,1,0.292,1,1,Paramecium,2,12,Paramecium,1,Paramecium
2,1,0.3125,1,1,Paramecium,3,13,Paramecium,1,Paramecium
2,5,0.3373,1,1,Paramecium,4,14,Paramecium,1,Paramecium
2,14,0.3378,1,1,Paramecium,5,15,Paramecium,1,Paramecium
2,77,0.3254,5.348,0.3392,Colpidium,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,71,0.0843,5.348,0.3392,Collodictyon,1,16,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,89,0.3365,4.2312,0.3266,Colpidium,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,35,0.0843,4.2312,0.3266,Collodictyon,2,17,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,71,0.3237,4.1536,0.3147,Colpidium,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,25,0.0843,4.1536,0.3147,Collodictyon,3,18,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,62,0.3021,4.331,0.2731,Colpidium,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,49,0.0843,4.331,0.2731,Collodictyon,4,19,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,83,0.331,4.4607,0.344,Colpidium,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,56,0.0843,4.4607,0.344,Collodictyon,5,20,"Colpidium, Collodictyon",2,"Colpidium, Collodictyon"
2,94,0.3272,4.2284,0.3284,Colpidium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
2,14,0.3284,1,1,Paramecium,1,21,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
2,62,0.2927,4.2909,0.3173,Colpidium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
2,8,0.3173,1,1,Paramecium,2,22,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
2,72,0.2758,4.1129,0.3681,Colpidium,3,23,"Colpidium, Paramecium",2,"Colpidium, Paramecium"
